ticker,cik
NKLA,0001731289
RJFpB,0000720005
ERY,None
RSPG,None
IVRpC,0001437071
TLTW,0001100663
HELE,0000916789
TPLE,None
BTEK,0001761055
RINF,0001174610
GSD,0001843248
VWID,0001559109
FDIG,0000945908
PATI,0001616741
PJFV,0001727074
ERET,0001100663
PTIX,0001022899
PGX,0001378872
ESGLW,0001957538
RWT,0000930236
MUB,0001100663
NVEC,0000724910
AMRX,0001723128
EQAL,0001378872
IGF,0000930667
WYY,0001034760
AIG,0000005272
GAMR,None
MEME,0001776878
KCAL,None
FORLW,0001936255
BSVN,0001746129
CHCI,0001299969
BSTP,0001415726
TWOA,0001843988
EMCB,0001350487
NXLIW,None
MDLV,None
BTEC,0001572661
SLNAW,0001909417
PSI,0001209466
GLTO,0001800315
CSSE,0001679063
OTMOW,0001842498
ASTC,0001001907
MCY,0000064996
PFSW,0001095315
IAS,0001842718
PAY,0001841156
CEW,0001350487
EAST,0001534708
PASG,0001787297
VCXB,0001848948
EPP,0000930667
NNBR,0000918541
ENLT,0001922641
EPOL,0001100663
SANM,0000897723
VGK,0000857489
FGDL,0001858258
HCDIW,0001784567
PAYOW,0001845815
PROF,0001628808
MSpK,0000895421
GVAL,0001529390
ACNT,0000095953
ESCA,0000033488
VMD,0001729149
VTC,0001021882
LGST,0001860871
AMEH,0001083446
NAT,0001000177
IOBT,0001865494
TVE,0001376986
XELB,0001083220
CMBS,0001100663
KR,0000056873
IYF,0001100663
CVCY,0001127371
NTB,0001653242
PLSE,0001625101
SBOW,0000351817
ASC,0001577437
TDUP,0001484778
BMEZ,0001785971
SHAP,0001881462
NEXT,0001612720
IMTB,0001100663
SPBC,0001810747
GXC,0001168164
RGT,0001514490
FUTU,0001754581
FET,0001401257
VNAM,None
IVCB,0001857410
RCAT,0000748268
STTpG,0000093751
GRC,0000042682
AMAOU,0001843656
GDNRW,0001858912
NAK,0001164771
WKLY,None
KCCA,0001547576
BITE.U,0001831270
CSTE,0001504379
LFEQ,0001137360
ZD,0001084048
MBNKP,None
AHOY,None
PCN,0001160990
NGVT,0001653477
MMSB,0001426439
BYTE,0001776878
VMCAW,0001892747
FTAG,0001383496
ERH,0001279014
WBS,0000801337
ASNS,0001141284
SNPG,None
EAD,0001210123
MFG,0001335730
REZI,0001740332
FBRT,0001562528
ENSG,0001125376
SHCRW,0001816233
DXYN,0000029332
BNDD,0001547576
CGDV,0001870128
BUSE,0000314489
PSApR,0001393311
ALLR,0001860657
DBEU,0001503123
FMIL,0000945908
GCT,0001857816
TUA,0001810747
CIR,0001091883
TRTNpC,0001660734
PTHR,0001930021
IBLC,0001100663
CPRI,0001530721
ATNF,0001690080
WKSP,0001096275
FMAY,0001667919
BH,0001726173
EBR,0001439124
CLOI,0001137360
MVST,0001760689
PIO,0001378872
MORN,0001289419
ICFI,0001362004
RMGCW,0001838108
COM,0001424958
TXRH,0001289460
DECT,None
CGAU,0001854640
CAPE,0000312070
DRIO,0001533998
MPAA,0000918251
GRABW,0001855612
CCB,0001437958
HMOP,0001501825
HACK,None
AMH,0001562401
FXN,0001383496
WASH,0000737468
BXMX,0001298699
SCCO,0001001838
PARA,0000813828
DBJP,0001503123
AOK,0001100663
FXLV,None
MTEK,0001872964
CUBE,0001298675
PFE,0000078003
REK,0001174610
QULL,0001114446
IVCBW,0001857410
PEBpE,0001474098
GHRS,0001855129
NPFD,0001865389
SCHC,0001454889
SAGP,None
PRVT,None
TGAAU,0001847355
BOSS,0001432353
BBC,0001559109
CFFI,0000913341
CFIV,0001825249
IBMN,0001100663
ACABU,0001893219
OAIM,None
NTKI,0001539639
CIOpA,0001593222
SSBI,None
ROSS,0001841610
WBIL,None
RXL,0001174610
CARU,0000927971
MOH,0001179929
DPZ,0001286681
DSCF,None
MSOS,0001408970
GHSI,0001642375
AVTX,0001534120
MOAT,0001137360
WPC,0001025378
FDHT,0000945908
RFpE,0001281761
TRINL,0001786108
TMFM,None
SSPY,0001858294
SPGP,0001209466
EPAC,0000006955
PAWZ,0001174610
MOGU,0001743971
SHUA,0001886268
BHLB,0001108134
MIST,0001408443
BYLD,0001100663
BTBT,0001710350
SKYY,0001383496
BSCR,0001657201
XHYF,None
NR,0000071829
MYRG,0000700923
AOGOW,0001881741
CHAT,None
ECXWW,0001861974
STLG,0001100663
CZFS,0000739421
BATT,0001633061
MAQC,0001844419
COFpN,0000927628
AVMA,None
MARPS,0000062362
SMWB,0001842731
CW,0000026324
OALC,None
DIM,0001350487
SKE,0001713748
SMLV,0001064642
VFH,0000052848
PEBpF,0001474098
ALVOW,0001898416
PHGE,0001739174
HBAN,0000049196
INAQU,0001862463
DLRpK,0001297996
SNAV,None
SZZLU,0001829322
NETDU,0001975218
ORMP,0001176309
VNOpN,0000899689
VOOG,None
PHD,0001305767
ACRO,0001847891
VLUE,0001100663
WLY,0000107140
FTF,0001233087
UTSL,0001424958
SG,0001477815
ASIX,0001673985
GXUS,None
PCRX,0001396814
EWBC,0001069157
EHC,0000785161
LLYVK,None
SNBR,0000827187
ISWN,0001633061
TRVN,0001429560
TFI,0001064642
RVSNW,0001743905
PINK,0001810747
NVCT,0001875558
FSLD,0001562565
CRT,0000881787
FT,0000833040
CRCT,0001828962
WHF,0001552198
LHC,0001824153
FSBW,0001530249
CYBR,0001598110
SXT,0000310142
BFAC.WS,0001880441
CLNN,0001822791
FLFVR,0001912582
PPSI,0001449792
MUSI,0001481714
FNF,0001331875
CLSD,0001539029
KOCG,None
ZEPP,0001720446
TMTCR,0001879851
TFIN,0001539638
MACAU,0001835416
INNV,0001834376
CVSB,None
SUNL,None
ITP,0001358190
CHMG,0000763563
MAXN,0001796898
IJT,0001100663
UJAN,0001415726
PEJ,0001209466
DISAU,0001838831
NPCE,0001528287
CDRE,0001860543
ATRI,0000701288
ESGS,0001551950
STBX,0001914818
HSUN,0001501825
JWSM.U,0001831359
TCBX,0001781730
KACLU,0001865468
QFIN,0001741530
PTHRU,0001930021
BTT,0001528437
QQQA,0001174610
NOV,0001021860
ASRT,0001808665
AEVA,0001789029
GAMC,0001841125
WDI,0001819559
CGTX,0001455365
UCBIO,0000857855
CMPOW,0001823144
KOKU,0001503123
STEP,0001796022
TOTL,0001516212
HSAI,0001861737
NWG,0000844150
BSMT,0001657201
GNLpA,0001526113
FFTG,0001644419
RAMP,0000733269
DJCB,0001114446
SPTS,0001064642
DCOM,0000846617
SSLY,0001580843
NVBW,None
AAXJ,0001100663
SLAMW,0001838162
RSPC,None
ROCI,None
PAX,0001825570
NXG,0001506488
KALV,0001348911
BLACU,0001840425
MBNE,0001516212
ONFO,0001825452
AGNG,0001432353
SLVO,0001053092
AGMpD,0000845877
GOLF,0001672013
NAPA,0001835256
FLJP,0001655589
GRN,0000312070
FHNpB,0000036966
AEMB,0001481714
HNST,0001530979
IBUY,0001633061
APCXW,0001070050
VCXA,0001848898
SAJ,0001377936
FND,0001507079
OTIS,0001781335
TSQ,0001499832
WWAC,0001853044
HLT,0001585689
NICE,0001003935
ISD,0001534880
EQRR,0001174610
SIJ,0001174610
ULCC,0001670076
LINC,0001286613
QOMOU,0001894210
TRFM,0001539639
ZTO,0001677250
TORO,0001941131
VWEWW,0001834045
SLVP,0000930667
MPA,0000891038
FTAIO,0001590364
MCLDW,0001756499
JPMpM,0000019617
BDCZ,0001114446
CETXP,0001435064
NYMTN,0001273685
SCHJ,0001454889
BYD,0000906553
URBN,0000912615
BFIN,0001303942
NTES,0001110646
CHKP,0001015922
LMDX,0001685428
FDFF,None
BNKU,0000927971
LZ,0001286139
WIZ,None
EQH,0001333986
CSWC,0000017313
ASTR,0001814329
SRET,0001432353
DISAW,0001838831
ETAO,0001939696
NBB,0001478888
GABC,0000714395
RWOD,0001907223
MGRD,0001004434
SHPH,0001757499
FSST,0000945908
VOD,0000839923
AIBBU,0001882963
BLKB,0001280058
LQDB,0001100663
TWLV,0001819498
BBMC,0001485894
CALM,0000016160
BTCY,0001630113
NCRA,0001756180
OXUSU,0001852973
PEBpG,0001474098
ICPT,0001270073
MOG.A,0000067887
ATFV,0001807486
CBLS,0001776878
ACA,0001739445
SRLN,0001516212
IFED,0001114446
RNRpG,0000913144
IRAAW,0001831874
PEZ,0001209466
FCX,0000831259
UVIX,0001793497
WK,0001445305
HAIN,0000910406
APH,0000820313
BPYPM,None
TTMI,0001116942
CETUU,0001936702
KN,0001587523
DG,0000029534
SPI,0001210618
AXGN,0000805928
CTGO,0001502377
AELpB,0001039828
XSVN,None
PCRB,None
HIHO,0001026785
BBUC,0001871130
PNR,0000077360
IYJ,0001100663
PRU,0001137774
MSBIP,0001466026
CSTA,0001834032
CLAY,0001855467
CN,0001503123
DBRGpI,0001679688
ICRpA,0001690012
VGSH,0001021882
ARRWU,0001835972
GGTpE,0000921671
WINVR,0001854463
NTCO,0001776967
GLW,0000024741
MAYT,None
NIE,0001383441
ZLS,0001853397
HYZN,0001716583
CREXW,0001356093
NRXS,0001933567
EM,0001834253
CYT,0001662244
AMSWA,0000713425
MSTB,0001539639
PFFL,0001114446
BSJO,0001657201
PHB,0001378872
BBDO,0001160330
PTSI,0000798287
ACHR,0001824502
FNGG,None
UGI,0000884614
MIR.WS,0001809987
PAMC,0001616668
ICLO,0001599511
ABNB,0001559720
QRTEP,0001355096
FLXS,0000037472
IWS,0001161966
SEAT,0001856031
AVNT,0001122976
CHIS,0001432353
NMRD,0001602078
STRW,0001782430
FILL,0000930667
TPYP,None
BUL,0001616668
LYEL,0001806952
EICA,0001754836
SLP,0001023459
VREX,0001681622
NCA,0000818851
VBND,0001753220
RENEW,0001889112
BBIN,0001485894
ZHDG,None
CRNC,0001768267
MHN,0001038186
BANF,0000760498
BIOSU,0001856653
OSK,0000775158
REE,0001843588
DGRO,0001100663
FIDU,0000945908
PAM,0001469395
PAUG,0001415726
WGO,0000107687
AIMAU,0001903464
PXMD,0001811623
GPACW,0001831979
DECAU,0001913577
DBND,None
JHID,None
ELEV,0001783032
AQUNU,0001861063
FAIL,0001529390
ONBPO,None
HART,0001415995
WLFC,0001018164
HAPS,None
CFFEU,0001839530
TCPC,0001370755
TGHpA,0001413159
SHOC,None
FDMT,0001650648
GGROW,0001886190
FICS,0001552740
GSY,0001418144
BITO,0001174610
SDG,0001100663
CSTA.U,0001834032
ZAPPW,0001955104
BNDC,0001491978
ETpD,0001276187
UKOMW,0001821424
PTA,0001793882
KLIP,0001536592
CELH,0001341766
DEN,0000945764
ACAHU,0001836274
IBIO,0001420720
AGR,0001634997
BIB,0000810972
UTL,0000755001
ATLX,0001540684
HIPO,0001828105
BIOL,0000811240
SBUX,0000829224
EWD,0000930667
LVRO,0001945711
SSTK,0001549346
LSAK,0001041514
AVID,0000896841
RFG,0001209466
FRXB.U,0001840161
IBD,0001733356
APRD,0001415726
SPMV,0001378872
ASUR,0000884144
FARO,0000917491
GWRS,0001434728
FICO,0000814547
HUSA,0001156041
EDR,0001766363
RITA,0001539639
XB,None
PACK,0001712463
CIMpB,0001409493
APCB,0001141819
KINS,0000033992
REM,0001100663
DES,0001350487
DOMO,0001505952
INTL,0000913760
FIVN,0001288847
CARV,0001016178
TRMB,0000864749
RWL,0001696209
IPAR,0000822663
CCM,0001472072
IEDI,0001524513
EBC,0001810546
VFF,0001584549
CRWD,0001535527
RSHO,None
KNSL,0001669162
BCSAW,0001873441
TILT,0001491978
CWI,0001168164
XLY,0001064641
PIM,0000830622
JZXN,0001816172
TBPH,0001583107
CEG,0001868275
MVO,0001371782
FCA,0001510337
BOHpA,0000046195
ABRpD,0001253986
CPT,0000906345
ASCAW,0001868775
FISR,0001516212
BGLD,0001329377
INSE,0001615063
OCTO,0001892492
FDX,0001048911
SLGC,0001837412
GDSTU,0001858007
KKR,0001404912
VT,0000857489
VS,0001701963
TUSI,None
SRS,0001174610
METCL,0001687187
MAS,0000062996
TVAL,None
VFS,0001913510
EWW,0000930667
PBUS,0001378872
FTXG,0001552740
RUM,0001830081
ZXZZT,None
JMIA,0001756708
SFST,0001090009
EVXX,None
VDC,0000052848
IVRS,0001100663
NMIH,0001547903
BDGS,None
OUSM,0001414040
MNSO,0001815846
ACU,0000002098
PSMO,0001616668
FNWD,0000919864
ERO,0001853860
LIVN,0001639691
NEP,0001603145
LIVBU,0001875257
BBAI.WS,0001836981
FLT,0001175454
HYBB,0001100663
GRVY,0001313310
CASS,0000708781
WPRT,0001370416
MMS,0001032220
HY,0001173514
MDWT,0000355379
LBAI,0000846901
WHLM,0001013706
RIGS,0001414040
IMMP,0001506184
VXX,0000312070
MNOV,0001226616
ADM,0000007084
HIG,0000874766
CpJ,0000831001
ALKS,0001520262
SPPP,0001539190
STTK,0001680367
ACV,0001636289
ECPG,0001084961
CMRE,0001503584
GBBKW,0001894951
SRE,0001032208
APOG,0000006845
BITS,None
PIFI,0001753220
JZ,0001852440
BBLU,None
FITBO,0000035527
USCA,None
ATAT,0001853717
XTEN,None
CORR,0001347652
SMBC,0000916907
COFS,0000803164
PRPC.U,0001821329
KNOP,0001564180
VINE,0001880343
FLNG,0001772253
XPON,0001894954
MVF,0000835948
FHNpC,0000036966
YOTAR,0001907730
VBIV,0000764195
COPJ,None
NVX,0001859795
LBTYK,0001570585
AGIH,0001524513
GEHI,0001708441
CFA,0001547580
DKS,0001089063
FTC,0001383496
FNK,0001383496
OCFT,0001780531
AGM,0000845877
AGGH,0001810747
TBMCR,0001934945
EFO,0001174610
AVB,0000915912
AHYB,0001481714
SSD,0000920371
PFSI,0001745916
PWS,0001616668
DWAS,0001378872
BFC,0001746109
PAAA,None
ESGD,0001100663
OSCR,0001568651
TRPL,0001616668
KXI,0001100663
JFIN,0001743102
KLTR,0001432133
GPP,0001635650
ETO,0001281926
GMGI,0001437925
SFRWW,0001821075
WHLRL,0001527541
RWODU,0001907223
BIGZ,0001836057
O,0000726728
NWS,0001564708
WBIF,None
GRTX,0001563577
BBLB,0001485894
ATOS,0001488039
CNXA,0001674440
INQQ,0001452937
FUSN,0001805890
UNL,0001405513
OAKU,0001945422
FIAC,0001854480
DDM,0000810972
INAB,0001740279
TPG,0001880661
HRZN,0001487428
FSBC,0001275168
DBC,0001328237
MFV,0000856128
RPTpD,0000842183
RTO,0000930157
SMRT,0001837014
TDSD,0001547950
TSLL,None
CNK,0001385280
SCWO,0000933972
UDN,0001383149
EKG,None
EWX,0001168164
SVIIR,0001843477
MQT,0000887394
PDLB,0001874071
ACLS,0001113232
INAQW,0001862463
STK,0001471420
SY,0001758530
TENX,0000034956
DFNL,None
THRY,0001556739
SRRK,0001727196
BUCK,0001810747
BDEC,0001415726
FBOT,None
KCE,0001064642
ALUR,0001964979
FATPU,0001865045
AOTG,None
YUMY,0001137360
ANET,0001596532
WMB,0000107263
EOD,0001386067
NTSE,None
STIM,0001227636
PLDR,None
PBF,0001534504
IMAQR,0001846235
NEAR,0001100663
ACWX,0001100663
ATHpD,0001527469
USCB,0001901637
SANE,None
BUFT,0001667919
BRKL,0001049782
VSH,0000103730
PTY,0001190935
ESML,0001100663
IQIN,0001415995
XRT,0001064642
SSBK,0001689731
OVID,0001636651
INCO,0001696209
NEWT,0001587987
NOGN,0001841800
PHI,0000078150
AMC,0001411579
TCBC,0001850398
BCV,0000009521
FIACW,0001854480
ARE,0001035443
BHM,0001903382
AUR,0001828108
GGLS,None
HVT.A,0000216085
IWV,0001100663
THRM,0000903129
DTB,0000936340
SGRY,0001638833
ECAT,0001864843
USBpP,0000036104
SPKY,0001817218
XHLF,None
CVNA,0001690820
BSCU,0001657201
UGL,0001415311
MVRL,0001114446
BJ,0001531152
GLpD,0000320335
OPP,0001678130
SCHWpD,0000316709
SOXS,None
FDCF,None
AAIC,0001209028
NTSI,None
VRTX,0000875320
VYNE,0001566044
GIPR,0001651721
KBUY,0001547576
SAMAU,0001843100
TDSE,0001547950
KLR.WS,0001719489
PAYX,0000723531
EPC,0001096752
TBCP,0001815753
RAYS,None
SECT,0000925661
VCV,0000895531
VLT,0000846671
WBSpG,0000801337
CHMIpA,0001571776
FNVT,0001857855
BATRK,0000912615
VSTO,0001616318
WINC,0001645194
DEA,0001622194
KARB,0001539639
ONEO,0001064642
DEUS,0001503123
SEE,0001012100
RAVE,0000718332
BHE,0000863436
ACHC,0001520697
KAVL,0001762239
VWO,0000857489
JFBR,0001885408
ISCV,0001100663
CRESY,0000887023
AG,0001308648
ASCBR,0001876716
USBpA,0000036104
AELpA,0001039828
LCFYW,0001875547
GODN,0001895144
AHHpA,0001569187
PKBK,0001315399
CPER,0001479247
CRGE,0001277250
CVIE,None
SBRA,0001492298
ENERU,0001855555
WIT,0001123799
BRLI,0001787518
BIV,0000794105
WBAT,None
OPA.U,0001843121
STXE,None
LUNG,0001127537
ATEK.WS,0001882198
ALVO,0001898416
EFSH,0001599407
RZLT,0001509261
ADC,0000917251
UPGR,None
APO,0001858681
IWFL,0001114446
ARB,None
EXK,0001277866
ULTR,0001415995
BSMU,0001657201
CMSC,0000811156
NBSTU,0001831978
KJAN,0001415726
CAMX,None
PCGpE,0001004980
INFR,0001655589
FGH,0000946454
IGBH,0001524513
WFHY,0001350487
GLSTU,0001922331
ADSEW,0001879248
SYNA,0000817720
JPMpC,0000019617
NOM,0000899782
NYMT,0001273685
LCTD,0001761055
PECO,0001476204
RVPH,0001742927
CMCM,0001597835
TEAM,0001650372
EMR,0000032604
PRPH,0000868278
UBER,0001543151
ALHC,0001832466
MDLZ,0001103982
PAI,0000075398
PGEN,0001356090
WTID,0000927971
BFSpD,0000907254
BTHM,0001761055
PSK,0001064642
DXGE,0001350487
TMFC,None
FNKO,0001704711
CSGS,0001005757
MOV,0000072573
AVD,0000005981
SCPH,0001604950
PACB,0001299130
AZO,0000866787
EIC,0001754836
GOGO,0001537054
FGF,0001591890
DTEC,0001414040
GLPpB,0001323468
NULV,0001635073
HYD,0001137360
FOLD,0001178879
CLRCU,0001903392
ALOT,0000008146
BSMV,0001657201
IHDG,0001350487
NRIM,0001163370
HDRO,0001539639
QOMOW,0001894210
BACA,0001869673
IBOC,0000315709
EMC,None
INDO,0001757840
APLM,0001944885
RVNU,0001503123
FORH,None
HEZU,0001100663
SMN,0001174610
ALV,0001034670
BAUG,0001415726
PSO,0000938323
HWELW,0001845013
SFWL,0001863218
XERS,0001867096
SHFS,0001854963
BRK.B,0001067983
TFSL,0001381668
ZYNE,0001621443
MGNI,0001595974
LKFN,0000721994
QVAL,None
MHUA,0001835615
NATR,0000275053
YEXT,0001614178
AVNW,0001377789
VLRS,0001520504
FLSA,0001655589
PLYA,0001692412
PSLV,0001494728
LINK,0000828146
AIXI,0001935172
GDNRU,0001858912
SEVN,0001452477
KVLE,0001547576
OXUS,0001852973
SMID,0000924719
NIpB,0001111711
JBI,0001839839
NCACU,0001849475
XNET,0001510593
CWST,0000911177
GPMTpA,0001703644
SNCRL,0001131554
SPVM,0001209466
KMET,0001536592
KBNTW,0001729750
HWCPZ,0000750577
SAP,0001000184
OXBRW,0001584831
HIX,0001058239
GXTG,0001432353
VKQ,0000877463
XTNT,0001453593
PRLD,0001678660
ZIMV,0001876588
MGY,0001698990
CUE,0001645460
JRI,0001539337
BPRN,0001913971
RZC,0000898174
DFEB,0001667919
BLUA,0001831006
OGS,0001587732
SCMB,0001454889
BREZR,0001817640
USAS,0001286973
BYND,0001655210
BMLpG,0000070858
PZT,0001378872
OCSL,0001414932
NULC,0001635073
CACI,0000016058
JKS,0001481513
IWN,0001006249
UCON,0001667919
SPT,0001517375
BUI,0001528988
AIU,0001722380
WATT,0001575793
YMAB,0001722964
YUMC,0001673358
BSJN,0001657201
PRCT,0001588978
AA,0001675149
EH,0001759783
RHTX,None
JHML,None
HSON,0001210708
PRK,0000805676
VIRC,0000751365
GUSA,None
DOCS,0001516513
JILL,0001687932
ADRT.U,0001864032
PRSR,0001825473
VLD,0001825079
FJP,0001510337
KBNT,0001729750
VRT,0001674101
ASXC,0000876378
IMTE,0001668438
CHB,0001432353
DTM,0001842022
NWL,0000814453
VEV,0001834975
MOGO,0001602842
DXJ,0001350487
KRYS,0001711279
BHFAL,0001685040
AGZD,0001350487
CLRO,0000840715
URG,0001375205
RWAYZ,0001653384
SWSSU,0001838000
CNOB,0000712771
MTEX,0001056358
HYLG,None
OIA,0000835333
PJAN,0001415726
GRNB,0001137360
MRCC,0001512931
NVGS,0001581804
AENTW,0001823584
PSTL,0001759774
XFINW,0001852749
LZM,0001958217
ETHO,None
DSEP,0001667919
FLKR,0001655589
IBMQ,0001100663
FREE,0001753706
ULE,0001415311
VIG,0000734383
TMCWW,0001798562
GBF,0001100663
GOVXW,0000832489
GPS,0000039911
NCPL,0001414767
EDAP,0001041934
PMF,0001140392
CHGX,None
HEDJ,0001350487
MIO,0001864290
AFCG,0001822523
GRFS,0001438569
VIASP,0001606268
WRAC.U,0001855168
IFF,0000051253
XPH,0001064642
TWN,0000804123
NFG,0000070145
APAM,0001517302
GFS,0001709048
PRTA,0001559053
FLGR,0001655589
MDGL,0001157601
VSLU,None
TILL,0001776878
EGGF.WS,0001843973
BSCW,0001657201
EPR,0001045450
RMT,0000912147
ADIL,0001513525
HOPE,0001128361
SKGR,0001912461
SNAXW,0001691936
BIL,0001064642
MEC,0001766368
EGRX,0000827871
FATH,0001836176
VMEO,0001837686
AAU,0001015647
SLV,0001330568
RGCO,0001069533
GPRE,0001309402
TMFX,None
PACI.WS,0001853070
XT,0001100663
NRP,0001171486
AWRE,0001015739
BNDX,None
